current_name,steamid64,oz_id,c_all,c180,c31,c7,first_hit_utc,last_hit_utc
Toki,76561198337887896,5120,86,11,1,1,2022-07-11,2025-09-10
Kumis,76561198129314304,2467,85,0,0,0,2019-07-21,2023-04-14
Ta5K,76561198939558155,3531,85,4,0,0,2019-10-28,2025-04-30
arnold,76561198047417865,713,85,0,0,0,2017-02-27,2023-06-19
bobo,76561198156622144,4032,85,1,0,0,2022-11-25,2025-06-14
teejay,76561198040346178,27,85,1,0,0,2013-03-30,2025-07-18
B4NE#11640,76561198040260189,31,84,0,0,0,2016-01-12,2018-04-07
HaZz,76561198071499832,2372,84,0,0,0,2018-04-05,2022-05-26
Kampfkeks,76561198085010248,1131,84,0,0,0,2015-10-24,2017-11-29
dubious,76561198017006226,308,84,0,0,0,2012-11-28,2024-05-16
kpc,76561198067582557,163,84,0,0,0,2015-08-30,2023-08-06
guerra,76561198085860792,5152,83,0,0,0,2017-01-21,2020-07-31
jiby,76561198317772389,5869,83,1,0,0,2019-12-13,2025-05-31
DavyC,76561197988901502,4698,82,0,0,0,2012-12-02,2025-01-11
Lizrd-Wizrd,76561198281156018,2515,82,12,3,0,2017-04-30,2025-09-07
chimes,76561198876360694,2244,82,1,1,0,2019-07-30,2025-08-27
enrith,76561198051825104,348,82,0,0,0,2014-10-28,2023-01-04
freelilslamm,76561198105299937,329,82,0,0,0,2015-12-17,2021-07-22
woozy,76561198442198135,4054,82,2,0,0,2023-02-19,2025-07-15
Aqua,76561198047273221,506,81,0,0,0,2016-09-27,2024-06-01
cap,76561198061594166,2634,81,0,0,0,2013-11-06,2023-04-08
cezyse,76561198252133706,1037,81,0,0,0,2017-03-08,2021-07-13
